Customer_ID,Gender,Age,City,Product_Category,Product_ID,Price,Quantity,Purchase_Date,Payment_Method,Browsing_Time_mins,Cart_Abandonment_Flag,Discount_Applied,Loyalty_Points_Earned
CUST1020,Male,23,Chennai,Apparel,PROD789,2529.93,3,2023-11-29,Credit Card,41.45,0,14.8,480
CUST1021,Male,55,Hyderabad,Beauty,PROD659,4602.7,1,2023-11-12,Net Banking,5.22,0,28.41,130
CUST1022,Male,23,Delhi,Home Decor,PROD960,1816.44,2,2023-07-16,Debit Card,37.58,1,32.46,10
CUST1023,Female,48,Chennai,Footwear,PROD572,3684.98,1,2023-02-01,Debit Card,38.82,1,16.02,332
CUST1024,Female,21,Hyderabad,Apparel,PROD705,4317.44,4,2023-07-06,Net Banking,28.86,0,46.11,468
CUST1025,Male,32,Hyderabad,Footwear,PROD252,915.77,1,2023-10-03,Credit Card,40.3,0,18.17,204
CUST1026,Male,25,Hyderabad,Home Decor,PROD425,765.56,4,2023-08-22,Net Banking,54.58,1,6.61,462
CUST1027,Female,33,Hyderabad,Footwear,PROD680,4080.05,1,2023-06-14,Credit Card,52.77,0,48.01,409
CUST1028,Female,32,Chennai,Beauty,PROD582,2537.48,2,2023-08-15,UPI,46.15,1,18.13,101
CUST1029,Female,32,Delhi,Beauty,PROD589,3267.85,1,2023-11-03,Cash on Delivery,2.24,1,37.77,414
CUST1030,Female,31,Hyderabad,Accessories,PROD502,1525.88,3,2023-08-20,Debit Card,31.99,0,32.79,11
CUST1031,Female,46,Delhi,Apparel,PROD616,4239.31,2,2023-09-22,UPI,49.22,0,20.75,198
CUST1032,Female,33,Delhi,Home Decor,PROD909,927.2,3,2023-08-24,Debit Card,55.19,1,11.93,0
CUST1033,Female,21,Bangalore,Apparel,PROD546,3231.67,4,2023-08-14,Net Banking,1.0,1,12.94,17
CUST1034,Female,22,Hyderabad,Footwear,PROD151,943.36,3,2023-10-21,UPI,26.66,1,10.5,81
CUST1035,Female,24,Chennai,Apparel,PROD159,3467.3,2,2023-08-07,Credit Card,52.23,1,6.9,6
CUST1036,Female,53,Delhi,Accessories,PROD212,4855.37,2,2023-03-11,UPI,52.26,1,28.14,355
CUST1037,Male,55,Mumbai,Footwear,PROD999,4098.86,3,2023-12-05,Credit Card,54.89,1,43.93,226
CUST1038,Female,29,Chennai,Beauty,PROD559,4403.74,4,2023-06-05,Debit Card,34.32,0,34.6,137
CUST1039,Female,21,Bangalore,Accessories,PROD704,3193.54,5,2023-12-25,Net Banking,44.73,0,1.37,168
CUST1040,Female,34,Mumbai,Footwear,PROD638,1670.62,1,2023-12-28,Credit Card,32.71,1,2.18,310
CUST1041,Female,43,Mumbai,Home Decor,PROD598,3865.62,2,2023-03-16,Credit Card,9.46,1,15.6,485
CUST1042,Female,21,Mumbai,Apparel,PROD242,3601.12,4,2023-10-27,Cash on Delivery,4.91,0,28.74,476
CUST1043,Female,24,Mumbai,Home Decor,PROD215,586.38,5,2023-05-11,Debit Card,59.62,1,21.77,378
CUST1044,Female,48,Hyderabad,Footwear,PROD907,1946.3,3,2023-11-28,Credit Card,32.33,1,31.32,192
CUST1045,Male,20,Chennai,Apparel,PROD153,1435.31,2,2023-12-29,Credit Card,54.76,0,48.65,300
CUST1046,Male,45,Delhi,Footwear,PROD495,2251.1,4,2023-12-23,Net Banking,44.3,0,19.76,387
CUST1047,Female,20,Chennai,Home Decor,PROD971,1684.39,1,2023-06-13,Net Banking,28.93,0,8.83,71
CUST1048,Male,37,Delhi,Apparel,PROD885,1834.45,5,2023-08-16,Debit Card,39.22,1,35.85,26
CUST1049,Female,55,Bangalore,Beauty,PROD337,4741.54,5,2023-12-11,UPI,1.57,1,35.71,81
CUST1050,Female,30,Hyderabad,Beauty,PROD972,4564.1,3,2023-11-13,Cash on Delivery,22.91,0,6.75,105
CUST1051,Female,51,Bangalore,Beauty,PROD564,1002.52,5,2023-09-25,UPI,47.63,1,1.29,394
CUST1052,Male,39,Delhi,Apparel,PROD162,3948.86,3,2023-09-29,UPI,22.07,0,44.65,232
CUST1053,Female,40,Chennai,Footwear,PROD113,4869.63,3,2023-03-29,UPI,42.17,1,41.63,299
CUST1054,Male,60,Chennai,Home Decor,PROD740,4693.76,5,2023-11-17,Credit Card,5.41,0,6.79,464
CUST1055,Female,46,Delhi,Home Decor,PROD856,2981.22,4,2023-06-28,Cash on Delivery,16.91,1,38.08,26
CUST1056,Female,23,Mumbai,Beauty,PROD853,3702.87,4,2023-01-29,Credit Card,50.71,0,7.15,494
CUST1057,Male,52,Delhi,Home Decor,PROD868,2283.14,5,2023-06-07,Debit Card,58.14,1,35.39,98
CUST1058,Female,25,Bangalore,Home Decor,PROD401,2461.27,5,2023-08-21,Cash on Delivery,30.11,1,25.96,284
CUST1059,Female,55,Hyderabad,Home Decor,PROD515,1187.2,4,2023-10-29,Debit Card,58.98,1,0.78,137
CUST1060,Female,34,Delhi,Apparel,PROD641,1185.81,5,2023-02-18,UPI,4.48,1,37.24,302
CUST1061,Female,36,Chennai,Accessories,PROD365,2538.87,4,2023-03-05,UPI,2.59,0,1.46,221
CUST1062,Male,22,Bangalore,Accessories,PROD358,4687.12,5,2023-05-25,Net Banking,17.58,0,23.49,163
CUST1063,Female,20,Chennai,Accessories,PROD538,1525.01,4,2023-08-27,Net Banking,9.41,0,19.72,237
CUST1064,Female,32,Delhi,Beauty,PROD150,3984.96,5,2023-10-15,Cash on Delivery,52.69,1,33.43,7
CUST1065,Male,54,Bangalore,Accessories,PROD422,1738.51,2,2023-11-07,Debit Card,55.94,0,1.39,405
CUST1066,Female,23,Hyderabad,Beauty,PROD879,4696.99,4,2023-03-17,Credit Card,14.86,0,19.22,64
CUST1067,Male,42,Chennai,Apparel,PROD501,865.95,2,2023-01-19,Cash on Delivery,31.54,0,48.05,113
CUST1068,Female,46,Bangalore,Home Decor,PROD907,501.25,2,2023-09-05,UPI,39.34,0,49.29,4
CUST1069,Female,52,Mumbai,Home Decor,PROD655,2768.29,3,2023-05-13,Debit Card,21.49,1,30.38,316
CUST1070,Female,18,Hyderabad,Home Decor,PROD846,3016.31,5,2023-09-09,Cash on Delivery,19.5,1,0.05,80
CUST1071,Female,26,Bangalore,Accessories,PROD438,4448.65,2,2023-09-11,Credit Card,22.68,0,47.93,45
CUST1072,Female,28,Bangalore,Beauty,PROD531,2637.13,5,2023-10-08,Credit Card,57.84,1,21.03,24
CUST1073,Male,60,Chennai,Apparel,PROD125,4673.85,4,2023-12-20,Net Banking,53.03,1,4.7,188
CUST1074,Female,40,Delhi,Beauty,PROD779,514.36,1,2023-04-24,Debit Card,49.41,0,6.49,224
CUST1075,Female,57,Mumbai,Footwear,PROD142,1793.05,2,2023-05-21,Credit Card,43.85,1,41.46,344
CUST1076,Male,50,Bangalore,Home Decor,PROD732,2179.26,4,2023-10-07,Debit Card,20.98,1,16.94,286
CUST1077,Female,44,Mumbai,Beauty,PROD432,2654.35,1,2023-09-24,UPI,39.86,1,34.39,459
CUST1078,Male,45,Delhi,Home Decor,PROD625,1265.62,3,2023-03-29,Net Banking,12.04,0,33.85,279
CUST1079,Female,60,Delhi,Footwear,PROD693,2914.94,2,2023-11-19,Cash on Delivery,18.33,0,17.91,412
CUST1080,Female,53,Chennai,Footwear,PROD907,1242.34,1,2023-03-03,Debit Card,16.44,0,1.24,93
CUST1081,Male,55,Chennai,Footwear,PROD829,3530.97,1,2023-11-11,Net Banking,32.25,0,42.99,182
CUST1082,Female,52,Hyderabad,Footwear,PROD318,1297.1,4,2023-05-30,Debit Card,39.28,1,16.17,70
CUST1083,Male,26,Bangalore,Accessories,PROD873,2509.62,1,2023-05-24,UPI,55.13,1,4.13,492
CUST1084,Male,44,Delhi,Accessories,PROD245,4207.95,3,2023-04-30,UPI,9.69,0,34.35,41
CUST1085,Female,55,Bangalore,Beauty,PROD714,1906.44,2,2023-01-02,Debit Card,13.08,1,1.78,309
CUST1086,Female,40,Bangalore,Accessories,PROD957,2023.41,3,2023-06-01,UPI,53.14,1,14.8,119
CUST1087,Male,50,Hyderabad,Accessories,PROD123,3527.37,5,2023-10-21,Cash on Delivery,55.65,1,7.94,365
CUST1088,Male,40,Hyderabad,Accessories,PROD380,4711.85,3,2023-05-12,Cash on Delivery,30.87,1,13.15,425
CUST1089,Female,60,Hyderabad,Home Decor,PROD477,2907.26,5,2023-08-03,Debit Card,6.86,0,25.3,332
CUST1090,Female,23,Bangalore,Beauty,PROD412,4296.33,5,2023-08-18,Net Banking,30.75,0,10.79,446
CUST1091,Female,48,Mumbai,Home Decor,PROD237,2031.54,3,2023-06-04,Debit Card,30.54,0,28.26,22
CUST1092,Female,51,Chennai,Accessories,PROD103,4131.48,3,2023-02-20,UPI,48.08,1,21.96,189
CUST1093,Male,32,Mumbai,Home Decor,PROD335,4433.79,5,2023-05-01,Credit Card,19.33,0,43.4,200
CUST1094,Male,55,Hyderabad,Accessories,PROD131,3279.19,1,2023-12-12,UPI,46.0,1,44.77,452
CUST1095,Male,59,Hyderabad,Apparel,PROD442,3334.42,5,2023-03-12,UPI,7.14,0,6.36,67
CUST1096,Male,36,Mumbai,Beauty,PROD708,4013.92,5,2023-01-28,Credit Card,8.42,1,39.49,105
CUST1097,Female,42,Delhi,Apparel,PROD346,2056.63,1,2023-10-01,Cash on Delivery,32.73,0,25.78,419
CUST1098,Female,27,Mumbai,Apparel,PROD418,2875.79,5,2023-07-02,Debit Card,19.96,0,15.6,90
CUST1099,Male,40,Mumbai,Accessories,PROD441,1424.49,1,2023-02-21,UPI,51.52,0,16.75,383
CUST1100,Female,54,Delhi,Accessories,PROD858,1266.84,1,2023-03-14,Debit Card,49.88,1,10.64,377
CUST1101,Female,44,Chennai,Home Decor,PROD677,3440.12,3,2023-01-02,Cash on Delivery,29.94,1,23.7,102
CUST1102,Female,31,Hyderabad,Accessories,PROD792,1994.74,3,2023-10-06,Net Banking,39.95,0,48.87,252
CUST1103,Male,27,Delhi,Footwear,PROD250,4483.69,1,2023-04-09,Credit Card,41.06,1,44.9,284
CUST1104,Male,43,Chennai,Footwear,PROD358,3069.86,4,2023-12-22,Cash on Delivery,35.21,1,14.02,384
CUST1105,Male,25,Bangalore,Home Decor,PROD161,3815.92,3,2023-11-21,Cash on Delivery,50.26,0,27.97,0
CUST1106,Female,37,Delhi,Beauty,PROD864,1217.5,3,2023-05-28,Credit Card,22.76,1,49.05,159
CUST1107,Female,48,Delhi,Footwear,PROD973,2311.55,1,2023-09-18,Cash on Delivery,8.15,0,46.25,311
CUST1108,Male,42,Mumbai,Beauty,PROD419,574.41,3,2023-01-30,Debit Card,57.37,0,14.57,242
CUST1109,Male,55,Delhi,Apparel,PROD962,1900.35,2,2023-03-09,Cash on Delivery,31.12,1,23.66,256
CUST1110,Female,37,Hyderabad,Accessories,PROD472,1890.02,4,2023-01-31,Cash on Delivery,19.84,1,5.38,420
CUST1111,Male,34,Bangalore,Home Decor,PROD480,2909.96,5,2023-04-23,Cash on Delivery,17.92,1,1.56,194
CUST1112,Female,39,Mumbai,Apparel,PROD516,1173.21,1,2023-03-18,Debit Card,21.35,0,14.49,189
CUST1113,Male,19,Chennai,Apparel,PROD514,847.5,3,2023-04-10,Cash on Delivery,30.05,1,26.15,141
CUST1114,Male,42,Delhi,Beauty,PROD717,3099.17,1,2023-03-14,Credit Card,17.46,0,21.45,301
CUST1115,Female,44,Chennai,Beauty,PROD986,2706.06,4,2023-04-23,Debit Card,23.96,0,30.03,315
CUST1116,Male,39,Hyderabad,Accessories,PROD927,898.53,4,2023-04-29,Debit Card,11.8,0,20.79,347
CUST1117,Female,38,Mumbai,Home Decor,PROD952,4546.87,2,2023-08-02,Debit Card,37.45,1,17.66,151
CUST1118,Male,38,Bangalore,Accessories,PROD568,3113.22,2,2023-10-29,Credit Card,6.61,1,30.14,4
CUST1119,Male,56,Hyderabad,Home Decor,PROD477,1255.34,4,2023-11-11,UPI,29.6,1,33.28,321
CUST1120,Male,46,Delhi,Footwear,PROD502,4195.86,4,2023-10-16,Debit Card,27.38,0,31.2,155
CUST1121,Female,28,Bangalore,Apparel,PROD819,4496.79,3,2023-01-02,Cash on Delivery,35.91,1,33.34,188
CUST1122,Male,53,Bangalore,Home Decor,PROD890,3504.33,4,2023-09-17,Net Banking,5.49,0,22.91,444
CUST1123,Female,53,Hyderabad,Home Decor,PROD865,3169.56,3,2023-02-21,Cash on Delivery,22.83,1,20.84,462
CUST1124,Male,34,Chennai,Footwear,PROD714,2629.36,5,2023-06-27,UPI,57.68,0,3.44,157
CUST1125,Male,56,Delhi,Home Decor,PROD143,1633.69,2,2023-10-09,Debit Card,46.5,0,3.26,79
CUST1126,Female,49,Chennai,Apparel,PROD819,2123.86,3,2023-10-24,Credit Card,14.92,1,3.73,291
CUST1127,Female,29,Chennai,Apparel,PROD657,3335.2,5,2023-07-25,UPI,20.59,0,5.02,307
CUST1128,Female,32,Delhi,Footwear,PROD854,1122.34,3,2023-08-20,Net Banking,54.94,0,26.47,86
CUST1129,Male,50,Chennai,Home Decor,PROD298,1834.58,3,2023-05-31,Debit Card,42.86,0,41.82,98
CUST1130,Female,26,Chennai,Accessories,PROD627,2265.69,3,2023-01-25,Net Banking,35.65,1,40.63,433
CUST1131,Male,59,Hyderabad,Home Decor,PROD308,3074.27,5,2023-09-13,Debit Card,32.06,0,25.26,9
CUST1132,Female,25,Delhi,Footwear,PROD844,4649.32,2,2023-03-17,UPI,6.0,0,12.68,146
CUST1133,Male,31,Delhi,Accessories,PROD965,4253.46,1,2023-11-10,Credit Card,50.65,0,34.11,169
CUST1134,Female,45,Hyderabad,Accessories,PROD925,2281.66,5,2023-03-13,Debit Card,16.77,1,24.04,346
CUST1135,Female,25,Chennai,Apparel,PROD102,1304.62,2,2023-08-23,UPI,48.93,0,8.91,221
CUST1136,Male,36,Mumbai,Apparel,PROD456,2187.92,3,2023-10-04,UPI,11.72,1,42.77,67
CUST1137,Female,52,Bangalore,Home Decor,PROD538,4438.52,3,2023-09-23,Cash on Delivery,55.62,1,19.54,70
CUST1138,Male,38,Mumbai,Apparel,PROD587,3628.9,2,2023-06-17,Net Banking,50.71,0,14.67,10
CUST1139,Female,19,Chennai,Beauty,PROD287,798.33,5,2023-06-20,Debit Card,25.82,1,2.81,14
CUST1140,Male,27,Hyderabad,Accessories,PROD773,2100.28,1,2023-10-04,Credit Card,6.31,1,10.57,193
CUST1141,Female,34,Delhi,Accessories,PROD381,2097.86,1,2023-08-18,Credit Card,22.73,0,4.15,78
CUST1142,Male,44,Bangalore,Beauty,PROD432,1698.36,5,2023-02-26,UPI,11.28,1,4.95,475
CUST1143,Female,41,Delhi,Footwear,PROD852,1089.07,4,2023-02-10,Cash on Delivery,23.64,1,2.83,243
CUST1144,Female,30,Delhi,Home Decor,PROD838,3788.86,3,2023-04-01,Credit Card,10.91,0,21.48,428
CUST1145,Male,55,Chennai,Footwear,PROD326,1690.45,3,2023-07-24,Cash on Delivery,26.72,0,21.58,78
CUST1146,Female,49,Mumbai,Home Decor,PROD682,2503.12,3,2023-01-18,UPI,49.51,0,1.29,140
CUST1147,Male,46,Chennai,Apparel,PROD981,4570.6,3,2023-09-30,Cash on Delivery,25.11,0,48.62,22
CUST1148,Female,49,Hyderabad,Apparel,PROD630,1533.31,1,2023-06-22,Credit Card,1.05,0,15.18,335
CUST1149,Male,36,Bangalore,Beauty,PROD490,3593.74,3,2023-02-14,Credit Card,20.49,0,1.84,25
CUST1150,Male,39,Mumbai,Apparel,PROD129,922.23,5,2023-12-08,Net Banking,9.88,1,10.24,206
CUST1151,Female,57,Hyderabad,Home Decor,PROD545,1009.85,2,2023-08-10,Debit Card,53.72,0,28.24,490
CUST1152,Male,46,Chennai,Apparel,PROD654,4337.31,3,2023-03-07,Cash on Delivery,27.99,1,24.25,82
CUST1153,Female,32,Chennai,Home Decor,PROD718,1234.65,2,2023-11-28,Cash on Delivery,16.93,0,2.29,105
CUST1154,Male,31,Hyderabad,Beauty,PROD138,3552.64,1,2023-10-30,Debit Card,41.48,1,45.63,156
CUST1155,Female,27,Delhi,Home Decor,PROD525,4083.63,3,2023-10-29,Cash on Delivery,36.69,1,32.14,284
CUST1156,Female,35,Chennai,Footwear,PROD779,2938.01,1,2023-08-12,Net Banking,11.09,1,32.4,445
CUST1157,Male,35,Mumbai,Apparel,PROD703,2165.73,4,2023-05-11,Debit Card,36.15,1,15.38,138
CUST1158,Male,46,Mumbai,Apparel,PROD726,3290.0,5,2023-01-18,UPI,37.26,1,10.86,278
CUST1159,Male,43,Bangalore,Beauty,PROD999,1104.49,2,2023-10-04,Credit Card,13.01,1,25.88,222
CUST1160,Female,55,Chennai,Accessories,PROD503,680.73,4,2023-09-14,Credit Card,58.05,0,17.85,452
CUST1161,Male,24,Chennai,Accessories,PROD321,1327.68,3,2023-09-19,Net Banking,56.69,1,2.75,222
CUST1162,Male,51,Delhi,Accessories,PROD417,4470.61,2,2023-05-15,Credit Card,55.23,0,19.8,389
CUST1163,Female,41,Hyderabad,Accessories,PROD502,2997.08,4,2023-07-10,Debit Card,16.77,1,9.14,86
CUST1164,Female,26,Bangalore,Beauty,PROD146,4087.04,2,2023-03-15,Cash on Delivery,51.34,0,20.87,387
CUST1165,Female,40,Mumbai,Beauty,PROD243,1702.89,4,2023-11-02,Cash on Delivery,52.44,1,0.22,75
CUST1166,Female,41,Bangalore,Beauty,PROD939,1572.03,1,2023-03-28,Credit Card,41.86,0,16.52,373
CUST1167,Female,38,Delhi,Footwear,PROD832,2893.44,4,2023-01-21,UPI,13.57,0,31.13,44
CUST1168,Female,41,Mumbai,Home Decor,PROD404,3486.17,2,2023-11-14,UPI,4.79,1,28.09,105
CUST1169,Female,48,Chennai,Home Decor,PROD983,2331.52,5,2023-01-23,Debit Card,44.98,1,31.29,500
CUST1170,Male,28,Chennai,Beauty,PROD605,3445.36,4,2023-11-08,UPI,39.13,1,25.7,249
CUST1171,Male,31,Hyderabad,Footwear,PROD109,2763.25,2,2023-06-13,Net Banking,55.7,1,22.45,54
CUST1172,Male,56,Mumbai,Footwear,PROD859,3766.49,3,2023-10-24,Debit Card,33.19,0,24.82,284
CUST1173,Male,25,Bangalore,Footwear,PROD818,2148.98,4,2023-08-13,UPI,2.27,0,3.09,200
CUST1174,Male,37,Delhi,Footwear,PROD164,4525.63,4,2023-09-13,Cash on Delivery,8.37,1,25.34,423
CUST1175,Male,28,Hyderabad,Home Decor,PROD440,1503.37,3,2023-03-03,UPI,44.5,0,35.5,33
CUST1176,Female,35,Chennai,Footwear,PROD618,1214.92,3,2023-05-16,Debit Card,33.08,0,28.0,422
CUST1177,Male,25,Mumbai,Accessories,PROD860,926.08,3,2023-06-14,UPI,53.06,0,34.38,365
CUST1178,Male,53,Delhi,Accessories,PROD130,2048.47,4,2023-02-17,UPI,11.33,0,14.62,84
CUST1179,Male,18,Hyderabad,Apparel,PROD199,991.3,5,2023-07-16,UPI,53.71,0,28.73,13
CUST1180,Male,39,Mumbai,Accessories,PROD484,3207.71,3,2023-01-21,UPI,38.79,0,49.94,173
CUST1181,Male,18,Hyderabad,Home Decor,PROD363,3695.24,2,2023-04-01,Debit Card,45.29,1,18.43,269
CUST1182,Male,55,Delhi,Apparel,PROD938,4245.64,4,2023-11-19,UPI,24.2,1,0.99,349
CUST1183,Female,42,Hyderabad,Apparel,PROD413,1641.47,3,2023-12-21,Cash on Delivery,57.02,1,35.72,268
CUST1184,Male,28,Delhi,Apparel,PROD327,1685.88,5,2023-04-11,UPI,35.18,1,23.23,373
CUST1185,Female,31,Delhi,Beauty,PROD289,2447.47,4,2023-07-04,UPI,3.66,1,11.28,127
CUST1186,Female,48,Chennai,Footwear,PROD118,1926.45,1,2023-07-13,UPI,25.4,0,7.7,351
CUST1187,Male,40,Chennai,Footwear,PROD696,3135.28,4,2023-03-11,Net Banking,46.67,1,3.66,128
CUST1188,Female,31,Bangalore,Apparel,PROD957,3123.42,4,2023-10-15,Credit Card,51.59,0,3.7,98
CUST1189,Male,60,Hyderabad,Beauty,PROD256,3157.34,4,2023-06-03,Cash on Delivery,52.15,0,2.08,223
CUST1190,Female,42,Bangalore,Beauty,PROD746,4057.28,1,2023-02-01,Debit Card,1.45,1,5.1,296
CUST1191,Female,56,Hyderabad,Beauty,PROD206,3079.89,4,2023-01-24,Net Banking,38.83,0,5.3,463
CUST1192,Female,56,Delhi,Accessories,PROD487,2503.26,2,2023-08-18,UPI,36.34,0,49.35,147
CUST1193,Male,50,Mumbai,Apparel,PROD529,1583.93,4,2023-11-17,Cash on Delivery,48.13,0,5.85,318
CUST1194,Male,29,Delhi,Accessories,PROD287,4370.56,1,2023-08-18,Cash on Delivery,9.59,0,44.83,158
CUST1195,Male,21,Mumbai,Footwear,PROD386,4222.04,4,2023-08-26,Debit Card,45.2,1,17.27,307
CUST1196,Female,55,Hyderabad,Apparel,PROD124,2139.57,2,2023-10-02,Cash on Delivery,17.02,1,5.24,333
CUST1197,Female,36,Hyderabad,Beauty,PROD808,2416.17,1,2023-12-23,Debit Card,57.25,1,25.93,361
CUST1198,Female,51,Hyderabad,Apparel,PROD392,1989.14,4,2023-06-02,Credit Card,50.2,1,3.6,70
CUST1199,Female,37,Mumbai,Home Decor,PROD387,1535.85,2,2023-04-02,Debit Card,47.03,0,19.62,37
CUST1200,Male,60,Delhi,Home Decor,PROD603,4898.92,4,2023-03-28,UPI,6.94,0,8.38,398
CUST1201,Male,36,Delhi,Beauty,PROD363,4037.39,2,2023-09-02,Credit Card,5.91,1,24.45,498
CUST1202,Female,57,Bangalore,Accessories,PROD829,3985.96,4,2023-02-12,Debit Card,43.68,0,3.17,55
CUST1203,Male,21,Bangalore,Beauty,PROD807,4571.95,4,2023-04-14,Cash on Delivery,22.88,1,20.61,10
CUST1204,Female,33,Mumbai,Accessories,PROD454,4014.33,1,2023-03-19,Net Banking,49.97,0,10.82,401
CUST1205,Female,57,Bangalore,Home Decor,PROD699,1060.05,5,2023-02-02,UPI,19.62,0,43.11,237
CUST1206,Male,41,Bangalore,Apparel,PROD456,4455.75,1,2023-02-27,UPI,58.48,1,3.97,15
CUST1207,Male,34,Hyderabad,Beauty,PROD630,2324.83,1,2023-08-28,Cash on Delivery,30.44,0,24.81,141
CUST1208,Male,31,Bangalore,Accessories,PROD771,4749.02,5,2023-01-22,Debit Card,55.05,1,17.26,99
CUST1209,Male,57,Delhi,Accessories,PROD899,4304.26,4,2023-05-30,Credit Card,10.46,1,19.32,417
CUST1210,Female,39,Delhi,Accessories,PROD467,3387.68,5,2023-10-07,Credit Card,57.46,1,23.82,485
CUST1211,Female,20,Delhi,Accessories,PROD379,3400.85,4,2023-04-29,Net Banking,49.71,1,5.1,498
CUST1212,Female,50,Chennai,Accessories,PROD816,1473.68,5,2023-07-28,Credit Card,21.78,0,28.78,152
CUST1213,Male,19,Hyderabad,Accessories,PROD189,4856.67,5,2023-11-13,Credit Card,11.23,1,24.45,129
CUST1214,Female,46,Hyderabad,Beauty,PROD727,2900.36,3,2023-03-05,UPI,30.92,0,37.08,468
CUST1215,Male,53,Delhi,Accessories,PROD177,678.0,2,2023-02-20,Net Banking,16.4,0,36.01,490
CUST1216,Female,31,Mumbai,Beauty,PROD783,4429.2,3,2023-06-24,Cash on Delivery,28.11,1,48.22,169
CUST1217,Female,55,Delhi,Accessories,PROD294,1638.64,4,2023-09-14,Credit Card,4.64,1,0.91,312
CUST1218,Female,20,Hyderabad,Accessories,PROD294,3893.73,4,2023-10-27,Debit Card,28.58,0,1.21,25
CUST1219,Female,53,Mumbai,Accessories,PROD454,4129.59,1,2023-09-19,Debit Card,32.3,0,38.08,377
CUST1220,Female,51,Hyderabad,Footwear,PROD127,3014.66,1,2023-01-07,Cash on Delivery,35.03,1,31.73,159
CUST1221,Male,44,Bangalore,Home Decor,PROD459,1407.6,4,2023-05-25,Credit Card,9.31,0,10.18,263
CUST1222,Female,31,Mumbai,Footwear,PROD608,1629.89,4,2023-05-04,Cash on Delivery,21.09,0,1.47,459
CUST1223,Female,25,Mumbai,Accessories,PROD703,2620.52,1,2023-02-18,Net Banking,43.72,1,38.61,205
CUST1224,Female,40,Mumbai,Beauty,PROD315,4648.23,3,2023-02-13,Debit Card,8.93,1,13.55,403
CUST1225,Female,50,Bangalore,Home Decor,PROD701,4825.78,3,2023-04-02,Net Banking,38.16,0,1.64,98
CUST1226,Female,21,Hyderabad,Home Decor,PROD189,3258.27,5,2023-12-02,Cash on Delivery,39.16,1,14.05,334
CUST1227,Female,27,Bangalore,Beauty,PROD536,4744.98,1,2023-01-22,Debit Card,28.78,1,39.29,114
CUST1228,Female,42,Chennai,Beauty,PROD880,3056.59,1,2023-08-14,UPI,20.55,1,17.32,138
CUST1229,Male,49,Hyderabad,Beauty,PROD752,4827.91,5,2023-08-04,Debit Card,20.18,1,14.72,409
CUST1230,Female,22,Mumbai,Apparel,PROD349,1696.62,5,2023-10-04,Net Banking,52.5,0,22.56,483
CUST1231,Male,24,Bangalore,Home Decor,PROD258,3951.24,5,2023-03-29,Net Banking,19.17,0,25.56,132
CUST1232,Female,39,Bangalore,Footwear,PROD126,2299.62,4,2023-10-20,Net Banking,39.35,1,43.26,89
